Restaurant_ID,Restaurant_Name,Cuisines,Price_for_One,Delivery_Time,Location,Rating,Delivery_review_number,,,
100146,Maggi Mane,"Beverages, Italian",100,29,Rajajinagar,4,100,,,
100147,Oru Vadakkan Cafe,"Kerala, Biryani, South Indian, Chinese, Seafood, Beverages",200,35,Koramangala,4.1,5000,,,
100148,Kapoor's Cafe,North Indian,250,40,Jayanagar,4.3,5000,,,
100149,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",100,24,Wilson Garden,4.6,1000,,,
100150,Sri srinivasa pork hotel,Indian,75,28,Ejipura,3,500,,,
100151,Madurai Hut,"Chettinad, South Indian, Biryani",150,38,Indiranagar,3.7,50,,,
100152,Taj Hotel,"Chinese, Mughlai, North Indian",250,32,Shivajinagar,4.1,1000,,,
100153,Bhagatram Sweets,"Indian, Chinese, North Indian, Snacks",125,27,Shivajinagar,3.9,1000,,,
100154,Sreeraj Lassi Bar 1973s,"Desserts, Juices, Ice Cream Cakes, Snacks",125,27,Shantinagar,4.2,500,,,
100155,Ajji Ruchi Kitchen,Indian,150,38,Koramangala,4.4,1000,,,
100156,Subway,"Fast Food, Salads, Snacks, Desserts, Beverages",175,31,Ashok Nagar,4.1,1000,,,
100157,Dalma,"Oriya, Seafood, Thai",99,38,Koramangala,4.1,1000,,,
100158,The Pizza Bakery,"Pizzas, Pastas, Italian, Desserts, Continental",350,28,Ashok Nagar,4.4,1000,,,
100159,Andhra Ruchulu,"Andhra, Chettinad, Chinese, Desserts, North Indian, Seafood",250,30,Jayanagar,4.3,5000,,,
100160,Tapri By The Corner,"North Indian, Chinese, Snacks, Indian",125,42,Koramangala,4,1000,,,
100161,Village Donne Biriyani,South Indian,150,32,Koramangala,3.6,1000,,,
100162,Chai Days,"Bakery, Beverages, Snacks",100,32,Koramangala,4.4,1000,,,
100163,Ambur Dum Biriyani,"Indian, Mughlai",150,41,Indiranagar,3.8,1000,,,
100164,Polar Bear Ice Cream Sundaes,"Ice Cream, Desserts",150,25,Basavanagudi,4.5,5000,,,
100165,RR Vatika - Punjabi Dhaba,"North Indian, Chaat, Chinese, Thalis",150,35,Basavanagudi,3.9,100,,,
100166,Mad Over Donuts,"Desserts, Sweets, Bakery",100,27,Magrath Road,3.9,1000,,,
100167,SGS Non Veg Gundu Palav - Malleshwaram Franchisee,"Biryani, South Indian, Maharashtrian",140,32,Malleshwaram,4.3,100,,,
100168,EatFit,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",135,26,Cunningham Road,4.3,1000,,,
100169,Theobroma,"Desserts, Bakery, Beverages",250,16,Ashok Nagar,4.6,1000,,,
100170,Appu Donne Biriyani Mane,Biryani,150,40,Malleshwaram,4,20,,,
100171,Lazeez,"North Indian, Mughlai",250,37,Koramangala,4.2,10000,,,
100172,Cakewala,Desserts,200,34,Jayanagar,4.4,5000,,,
100173,Bheema's,Andhra,275,23,Ashok Nagar,4.3,10000,,,
100174,New Punjabi Hotel,North Indian,80,31,Koramangala,3.6,10000,,,
100175,Bucket Biryani,"Biryani, North Indian, Chinese, Seafood",350,22,Ashok Nagar,4.3,100,,,
100176,Tasty Magic,"Chinese, Arabian, North Indian, Desserts, Biryani, South Indian",150,33,BTM Layout,3.3,1000,,,
100177,Delicacy,"Chinese, Thai",200,40,Frazer Town,4.2,10000,,,
100178,New Shanthi Sagar,"North Indian, Chinese, Fast Food",200,36,Jayanagar,4,10000,,,
100179,Tibetan Mother's Kitchen,"Chinese, Tibetan, Thai",125,38,Koramangala,4.1,5000,,,
100180,Santhanam Sweets,Sweets,100,26,Commercial Street,4.5,1000,,,
100181,Maravanthe,Seafood,400,46,Indiranagar,4.3,5000,,,
100182,La Heaven,"Bakery, Desserts, Beverages",150,39,Frazer Town,4.2,500,,,
100183,Tewari Bros Mithai Shop,"Gujarati, Rajasthani",75,31,Commercial Street,3.8,5000,,,
100184,Shyam Mishra Juice Centre Llp,"Juices, Beverages",80,33,Majestic,4.4,100,,,
100185,Sri Vishnu Grand Veg,"South Indian, North Indian, Chinese",100,31,Majestic,4,100,,,
100186,Street Foods By Punjab Grill,"North Indian, Kebabs, Biryani, Mughlai",200,51,Malleshwaram,3.8,100,,,
100187,Just Shawarma,Arabian,90,56,Indiranagar,4.3,1000,,,
100188,Mumbai Xpress,"North Indian, Chinese",100,41,Koramangala,3.9,5000,,,
100189,Rang De Basanti Dhaba,"North Indian, Kebabs, Biryani, Snacks, Punjabi, Desserts, Tandoor, Indian",150,47,Indiranagar,4.1,10000,,,
100190,Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi, Chaat, Indian, American, North Indian, Fast Food, Desserts, Cafe, Healthy Food, Home Food",75,30,Church Street,4.5,5000,,,
100191,Naati Cafe,"Biryani, Kebabs",150,30,Koramangala,4.3,500,,,
100192,Swiss Cream - Ice Creams and More,"Desserts, Ice Cream, Beverages",125,25,Shanti Nagar,4,1000,,,
100193,Swiss Cream - Ice Creams and More,"Desserts, Ice Cream, Beverages",125,25,Shanti Nagar,4,1000,,,
100194,K C Das,"Bengali, Desserts, Sweets",75,20,St Marks Road,4.4,5000,,,
100195,Malgudi's Donne Biriyani-Srirampura,Biryani,125,33,Rajajinagar,4.3,5000,,,
100196,Istah - The Mediterranean Way,"Arabian, Biryani, Mediterranean, Lebanese, Snacks, Beverages",125,34,Santhi Nagar,4.3,1000,,,
100197,Rajdhani,"Gujarati, Rajasthani, North Indian",200,52,Malleshwaram,4,10000,,,
100198,Chinese Square,"Chinese, Beverages, Juices",75,27,Basavanagudi,4,100,,,
100199,Magnolia Bakery,"Bakery, Desserts, Ice Cream",250,35,Indiranagar,4.5,5000,,,
100200,S G Rao's Military Hotel,"South Indian, Biryani",200,34,Majestic,3.7,100,,,
100201,Chandus deluxe (Naati style),"Indian, South Indian, Chinese",125,33,Malleshwaram,4.1,1000,,,
100202,Manjit Da Dhaba,North Indian,175,31,Frazer Town,4.6,10000,,,
100203,Chichabas Taj,"Mughlai, North Indian, Biryani",266,40,Frazer Town,4.1,10000,,,
